Villain	Year first	Year last	Doc. no.	Doctor actor	Episodes	Motivation (invasion earth, kill humans, etc)	Story titles
Vardan	1978	1978	4	Tom Baker	6	Time travelling	The Invasion of Time
Lytton, Commander Gustav	1983	1985	5,6	Peter Davison, Colin Baker	4	Serve big bad	Resurrection of the Daleks, Attack of the Cybermen
Charles, Oliver	2005	2005	9	Christopher Eccleston	1	Kill politician	Aliens of London
Carrington, General	1970	1970	7	Jon Pertwee	7	War	The Ambassadors of Death
Eldrad	1976	1976	4	Tom Baker	4	Control of own alien species	The Hand of Fear
WOTAN	1966	1966	1	William Hartnell	4	World domination	The War Machines
Baltazar	2007	2007	10	David Tennant	13	Kill life on earth/make money	The Infinite Quest 
Goth (Gothaparduskerialldrapolatkh)	1969	1976	2,4	Patrick Troughton, Tom Baker	14	Serve big bad, power	The War Lords, The Deadly Assassin
Angelo	2006	2006	10	David Tennant 	1	Create new empire	Tooth and Claw
Borusa	1976	1983	1, 2, 3, 4, 5	William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison	15	Wants immortality	The Deadly Assassin, The Invasion of Time, Arc of Infinity, The Five Doctors
Grey, Solicitor	1966	1967	2	Patrick Troughton	4	Serve big bad	The Highlanders
Terileptil's android	1982	1982	5	Peter Davison	4	Serve big bad	The Visitation
Animus	1965	1965	1	William Hartnell	6	Control Humans	The Web Planet
Moroks, (the)	1965	1965	1	William Hartnell	4	Power	The Space Museum
Stotz	1984	1984	1,5,6	William Hartnell, Peter Davison, Colin Baker	4	1	Make money	The Caves of Androzani
Rattigan, Luke	2008	2008	10	David Tennant	2	World domination	The Sontaran Stratagem/The Poison Sky
Reapers	2005	2005	9	Christopher Eccleston	1	Sterilise time disturbances	 Father's Day
Cybermat	1967	2011	2,4,11	Patrick Troughton, Tom Baker, Matt Smith	15	Serve big bad	Tomb of the Cybermen, Wheel in space, Revenge of the Cybermen, Closing Time
Soloman's robots (x2)	2012	2012	11	Matt Smith	1	Serve big bad	Dinosaurs on a Spaceship
Toclafane	2007	2007	10	David Tennant	2	Self interest	The Sound of the Drums/Last of the Time Lords
Kamelion (inc benevolent appearences)	1983	1984	5	Peter Davison	6	Serve big bad	The King's Demons, Planet of Fire
Elizabeth Shaw, Section Leader (alt universe)	1970	1970	3	Jon Pertwee	7	Fascist stooge	Inferno
Minister (of Enlightment/Persuasion)	1982	1982	5	Peter Davison	4	Serve big bad	Four to Doomsday
Adherents of the Repeated Meme	2005	2005	9	Christopher Eccleston	1	Serve big bad	The End of the World
Kess	2008	2008	10	David Tennant	1	Power	Planet of the Ood
Anti-Matter Organism 	1972	1973	1,2,3	William Hartnell, Patrick Troughton, Jon Pertwee	4	Serve big bad	The Three Doctors
